SQA,Project ID,Application,Deliverable,Doc Version,"Doc ID, if needed","Approve or 
Disapprove?",Date of Approval or Disapproval,Reason for Disapproval,Comments
Nick,1075.001,DaVinci,Traceability,2,1,A,31-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol Results,2,2,A-FP,31-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol Results,1,4,D,31-Jan-2018,Not compliant with procedure,
Nick,1075.001,DaVinci,Release Notes,1,1,D,31-Jan-2018,Not compliant with procedure,
Nick,1075.001,DaVinci,Test Protocol Results,1,4,A,31-Jan-2018,,
Nick,1075.001,DaVinci,Release Notes,1,1,D,31-Jan-2018,Other,
Nick,1075.001,DaVinci,System Certification Summary,1,1,D,31-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,System Certification Summary,1,1,D,31-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,IDP,1,1,A,31-Jan-2018,,
Nick,ePAS 17-4771 V11.0,GS Reports,Move to Production,1,1,A-FP,31-Jan-2018,,
Nick,1075.001,DaVinci,Release Notes,1,1,A,31-Jan-2018,,
Nick,1075.001,DaVinci,System Certification Summary,1,1,A,31-Jan-2018,,
Nick,1075.001,DaVinci,IIVP results,1,1 prod,D,1-Feb-2018,Inaccurate information,
Nick,ePAS 18-1699,Metrics Library,Design Documentation,1,,A,1-Feb-2018,,
Nick,ePAS 18-1700,Metrics Library,Design Documentation,1,,A,1-Feb-2018,,
Nick,ePAS 18-2537,Metrics Library,Test Protocol,1,,A-FP,1-Feb-2018,,
Nick,ePAS 18-2538,Metrics Library,Test Protocol,1,,A-FP,1-Feb-2018,,
Nick,345.004,SAS,System Certification Summary,1,1,A-FP,1-Feb-2018,,regplot micro
Nick,750.011,AFMS,Test Protocol Results,2,3,D,1-Feb-2018,Not compliant with procedure,
Nick,1075.001,DaVinci,IIVP results,1,1 prod,A,2-Feb-2018,,
Nick,750.011,AFMS,Test Protocol Results,2,3,A,2-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - validation,A-FP,2-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1, Instrument Server-v9.3 - validation: ADDULCD773047T,A-FP,2-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,11,Pass Test Protocol TCINT_05 Result: ADDULCD772827L,A-FP,2-Feb-2018,,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 02 -  IPDR ADDQIMS08557: GISULCV102537,A-FP,2-Feb-2018,,resubmitted
Beilah,01090.000,WWLIMS,IIVP results,1,Instrument Server-v9.3: ADDULCD706358T,A-FP,5-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol  TC_IPDR_ ADDWWLIMS08562_SLIGO Result: ADDULCD773047T,A-FP,5-Feb-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol - TC_IPDR_ ADDWWLIMS08562_LONGFORD Result: ADDULCD773047T,A-FP,5-Feb-2018,,Resubmitted
Beilah,01006.002,Alinity Source Verifier,Software Change Request,1,,A-FP,5-Feb-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Test Protocol Results,7,Pass - Test Protocol - TCARCH_05 - Result,A-FP,5-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1, WWLIMS WorkStation v9.3b_Longford : ADDIE8D003096,A-FP,5-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1, WWLIMS WorkStation v9.3b_Longford : ADDIE8D003096,A-FP,5-Feb-2018,,Resubmitted
Beilah,01090.000,WWLIMS,IIVP results,1,Instrument Server-v9.3b_Longford: ADDIE8D003288,A-FP,5-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,Instrument Server-v9.3b_Longford: ADDIE8D003288,A-FP,5-Feb-2018,,Resubmitted
Beilah,01090.000,WWLIMS,URS,33,WWLIMS User Requirements Specification,A-FP,5-Feb-2018,,
Beilah,01090.000,WWLIMS,Traceability,24,"WWLIMS Traceability Matrix"" Project Level",A,21-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - validation: ADDULCD771107L,A-FP,5-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,2,Pass Test Protocol TCTCPIT_R_11 Result: ADDULCD773047T,D,5-Feb-2018,Other,The link in the folder is to the wrong protocol.
Beilah,01090.000,WWLIMS,Test Protocol Results,2,Pass Test Protocol TCTCPIT_R_11 Result: ADDULCD773047T,A,5-Feb-2018,,
Beilah,01033.014,Pulse,Software Compliance Assessment,6,,A-FP,5-Feb-2018,,Link approval to parent
Beilah,01033.014,Pulse,Test Protocol,1,DP_Filters_Protocol,D,6-Feb-2018,Insufficient testing,through email.
Beilah,01033.015,Pulse,Software Change Request,1,,D,6-Feb-2018,Inaccurate information,through email.
Beilah,01033.015,Pulse,Software Change Request,1,,A,8-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol TCTCPPRT_19 Result: ADDULCD772728L,A-FP,6-Feb-2018,,
Beilah,01033.014,Pulse,Software Change Request,1,,A-FP,6-Feb-2018,,
Beilah,01033.014,Pulse,Software Change Request,2,,A-FP,7-Feb-2018,,
Beilah,01033.014,Pulse,Test Protocol Results,1,DP_Filters_Protocol,A,6-Feb-2018,,
Beilah,01033.014,Pulse,Test Protocol Results,1,DP_Filters_Protocol,A-FP,8-Feb-2018,,
Beilah,01033.014,Pulse,Traceability,5,URS/FRS to Test Protocol Trace_v5,A-FP,7-Feb-2018,,
Beilah,01033.014,Pulse,IIVP,3,,A-FP,6-Feb-2018,,approval of Link to parent
Beilah,01033.014,Pulse,IIVP results,3,install QA: a3161c8,A-FP,8-Feb-2018,,
Beilah,01101.000,QIMS,IIVP results,1,Manual Installation Instructions for 32 bit or 64 bit pc: ADDULCD771083,A-FP,6-Feb-2018,,
Beilah,01101.000,QIMS,IIVP results,1,"Manual Installation Instructions for 32 bit or 64 bit pc: ADDULCD772995L, ADDULCL772586",A-FP,6-Feb-2018,,
Beilah,00303.099,DFCS,Design Verification,4,Picklist changes ,A-FP,7-Feb-2018,,
Beilah,00303.099,DFCS,CII,5,Picklist changes ,D,7-Feb-2018,Inaccurate information,
Beilah,00303.099,DFCS,CII,5,Picklist changes ,A,7-Feb-2018,,
Beilah,00303.099,DFCS,IIVP,5,Picklist changes ,D,7-Feb-2018,Inaccurate information,
Beilah,00303.099,DFCS,IIVP,5,Picklist changes ,A,7-Feb-2018,,
Beilah,00849.009,PEAR,Software Compliance Assessment,5.0.1,,A-FP,7-Feb-2018,,
Beilah,0032.019,EDMS,Software Compliance Assessment,5.2.1,,A-FP,7-Feb-2018,,
Beilah,01090.000,WWLIMS,Design Verification,1,Code Review - Instrument Server v9.3c,A-FP,7-Feb-2018,,
Beilah,01090.000,WWLIMS,Design Verification,1,Design Verification - Unit Test - Instrument Server v9.3c,A-FP,7-Feb-2018,,
Beilah,01033.014,Pulse,Design Verification,1,Unit test,A-FP,7-Feb-2018,,
Beilah,01033.014,Pulse,CII,1,,A-FP,7-Feb-2018,,
Beilah,01090.000,WWLIMS,CII,1,Configuration Item Inventory - Instrument Server v9.3c,A-FP,7-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,Instrument Server-v9.3 - Validation: ADDULCD706358T,A-FP,7-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,8,Pass - Test Protocol - TCIDPR_02 - Result,A-FP,12-Feb-2018,,
Beilah,01101.000,QIMS,User Acceptance Protocol,1,User Acceptance Testing – Doc Authoring,A-FP,8-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,Instrument Server-v9.3c -Validation: ADDULCD773047T,A-FP,8-Feb-2018,,
Beilah,01101.000,QIMS,User Acceptance Protocol,1,User Acceptance Testing – Biochem,A-FP,8-Feb-2018,,
Beilah,01101.000,QIMS,User Acceptance Protocol,1,User Acceptance Testing – Chem,A-FP,8-Feb-2018,,
Beilah,01101.000,QIMS,User Acceptance Protocol,1,User Acceptance Testing – Micro,A-FP,8-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,Instrument Server-v9.3c - Longford: ADDIE8D003288,A-FP,8-Feb-2018,,
Beilah,01101.000,QIMS,IIVP results,1,(QIMS) Version 2.50 – Manual Installation Instructions for 32 bit or 64 bit pc: ADDULCL772586,A-FP,8-Feb-2018,,
Beilah,01033.013,Pulse,IIVP,3,,A,8-Feb-2018,,link to parent
Beilah,01090.000,WWLIMS,Test Protocol Results,3,"Pass Test Protocol DT Instrument Server Result: ADDULCD771510T
ADDULCD773047T",A-FP,8-Feb-2018,,
Nick,750.011,AFMS,Test Protocol Results,2,7,D,6-Feb-2018,Not compliant with procedure,
Nick,750.011,AFMS,Test Protocol Results,2,7,A,6-Feb-2018,,
Nick,ePAS 18-2539,Metrics Library,Test Protocol,1,,A-FP,7-Feb-2018,,
Nick,ePAS 18-3255,Metrics Library,Test Protocol,1,,A-FP,7-Feb-2018,,
Nick,ePAS 18-2540,Metrics Library,Test Protocol,1,,A-FP,7-Feb-2018,,
Nick,ePAS 18-2770,Metrics Library,Test Protocol,1,,A-FP,7-Feb-2018,,
Nick,ePAS 18-2771,Metrics Library,Test Protocol,1,,A-FP,7-Feb-2018,,
Nick,581.024,TODS,Software Change Request,1,1,A,8-Feb-2018,,
Nick,581.024,TODS,Test Protocol,1,1,D,9-Feb-2018,Not compliant with procedure,
Nick,581.024,TODS,Test Protocol,1,2,D,9-Feb-2018,Not compliant with procedure,
Nick,581.024,TODS,Test Protocol,1,1,A,9-Feb-2018,,
Nick,581.024,TODS,Test Protocol,1,2,A,9-Feb-2018,,
Beilah,01033.014,Pulse,System Certification Summary,1,,A-FP,9-Feb-2018,,
Beilah,01101.000,QIMS,User Acceptance Protocol results,1,User Acceptance Testing – IQA,A-FP,9-Feb-2018,,
Beilah,01101.000,QIMS,User Acceptance Protocol results,1,User Acceptance Testing – EM,A-FP,9-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Software Change Request,1,,A,9-Feb-2018,,resubmitted
Beilah,01101.000,QIMS,System Certification Summary,1,,D,9-Feb-2018,,
Beilah,01101.000,QIMS,System Certification Summary,1,,A,9-Feb-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Test Protocol Results,8,Pass - Test Protocol - TCIDPR_02 - Result,A-FP,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,FRS,3,Functional Requirements Specification,A-FP,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Design Verification,1,Design Verification-Unit Testing,A-FP,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,CII,1,,A-FP,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,IIVP,1,,A-FP,12-Feb-2018,,
Beilah,00303.099,DFCS,Test Protocol Results,3,DFCS_PostponementOrders_Results,A,12-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol - TCIDARCC_02 - Result: ADDIE8D003288,A-FP,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Traceability,3,URS to FRS Trace,D,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Traceability,3,URS to FRS Trace,A,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Traceability,3,URS to FRS Trace,A,14-Feb-2018,,Resubmitted
Beilah,01006.002,Alinity Source Verifier,Traceability,3,URS/FRS to Test Protocol Trace,A-FP,12-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Traceability,3,URS/FRS to Test Protocol Trace,A,13-Feb-2018,,Resubmitted
Beilah,00332.019,EDMS,Software Compliance Assessment,5.2.1,,A,12-Feb-2018,,Resubmitted
Beilah,00332.019,EDMS,Software Change Request,1,,A-FP,12-Feb-2018,,
Beilah,00332.019,EDMS,Software Change Request,1,,A,14-Feb-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Traceability,24,WWLIMS Traceability Matrix,D,12-Feb-2018,Inaccurate information,
Beilah,01033.015,Pulse,Test Protocol,3,My Instruments_v3_Protocol,A-FP,12-Feb-2018,,Link approval to parent
Beilah,01006.002,Alinity Source Verifier,Test Protocol,1,,D,12-Feb-2018,Inaccurate information,
Beilah,01006.002,Alinity Source Verifier,Test Protocol,1,,A,12-Feb-2018,,
Beilah,00849.009,PEAR,Software Change Request,1,,D,12-Feb-2018,Inaccurate information,
Beilah,00849.009,PEAR,Software Change Request,1,,A,13-Feb-2018,,
Beilah,00849.009,PEAR,Software Change Request,1,,A,14-Feb-2018,,Resubmitted
Beilah,01090.000,WWLIMS,CII,1,Configuration Item Inventory - Workstation v9.3,A-FP,14-Feb-2018,,
Beilah,01090.000,WWLIMS,CII,1,Configuration Item Inventory - Instrument Server v9.3,A-FP,14-Feb-2018,,
Beilah,01090.000,WWLIMS,CII,1,Configuration Item Inventory - Supplemental Items v9.3,A-FP,14-Feb-2018,,
Beilah,00303.099,DFCS,IIVP results,5,Installation Instructions and Verification Protocol: LT063086,A-FP,14-Feb-2018,,
Beilah,01033.014,Pulse,IIVP results,1,Installation Instructions and Verification Protocol - Prod: 0d60429,A-FP,14-Feb-2018,,
Beilah,01033.013,Pulse,FRS,11,Customer Portal_v11,A,15-Feb-2018,,Resubmitted
Beilah,01033.013,Pulse,FRS,4,Distributor Portal_v4,A-FP,15-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,4,TCISVR_01 - Result: ADDULCD773047T,A-FP,15-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3)Validation ADDULCD772728l,A-FP,15-Feb-2018,,
Beilah,01101.000,WWLIMS,IIVP results,1,Instrument Server-v9.3 - Validation ADDULCD773047T,A-FP,15-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3)Validation ADDULCD771510T,A-FP,15-Feb-2018,,
Beilah,01033.013,Pulse,Traceability,41,URS to FRS Trace - v41,A-FP,15-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,IIVP results,1,QA,A-FP,15-Feb-2018,,
Wayne,1073.000,Groninger,IIVP,1,,D,3-Jan-2018,Inaccurate information,
Wayne,01073.000,Groninger,IIVP,1,,A,3-Jan-2018,,
Wayne,01073.000,Groninger,IIVP,2,,A,4-Jan-2018,,
Wayne,00055.041,eNovator,Traceability,1,,A,12-Jan-2018,,eNovator
Wayne,00419.016,Reliasoft Xfmea,Other,1,,A-FP,13-Jan-2018,,Other
Wayne,01073.000,Groninger,Test Protocol,1,,D,3-Jan-2018,Inaccurate information,
Wayne,01073.000,Groninger,Test Protocol,1,,D,4-Jan-2018,Inaccurate information,
Wayne,01073.000,Groninger,Test Protocol,1,,A,9-Jan-2018,,
Wayne,01073.000,Groninger,Traceability,1,,A-FP,16-Jan-2018,,
Wayne,01073.000,Groninger,Design Verification,1,,A-FP,17-Jan-2018,,
Wayne,01104.000,Assay File Database,Software Change Request,1,,D,17-Jan-2018,Not compliant with procedure,
Wayne,01104.000,Assay File Database,Software Change Request,1,,A,17-Jan-2018,,
Wayne,00986.005,PCN/SCN,Software Compliance Assessment,1,,D,18-Jan-2018,Inaccurate information,
Wayne,00986.005,PCN/SCN,Software Compliance Assessment,1,,A,22-Jan-2018,,
Wayne,00986.005,PCN/SCN,Software Change Request,1,,D,23-Jan-2018,Incorrect scope,
Wayne,00986.005,PCN/SCN,Software Change Request,1,,A,24-Jan-2018,,
Wayne,01073.000,Groninger,CII,1,,D,17-Jan-2018,Not compliant with procedure,
Wayne,01073.000,Groninger,CII,1,,D,18-Jan-2018,Not compliant with procedure,
Wayne,01073.000,Groninger,CII,1,,A,19-Jan-2018,,
Wayne,00986.005,PCN/SCN,CII,1,,A-FP,5-Feb-2018,,
Wayne,00986.005,PCN/SCN,Design Verification,1,,A-FP,26-Jan-2018,,
Wayne,01073.000,Groninger,CII,1,,A-FP,5-Feb-2018,,
Wayne,01073.000,Groninger,Design Verification,1,,A-FP,5-Feb-2018,,
Wayne,00986.005,PCN/SCN,FRS,1,,A-FP,25-Jan-2018,,
Wayne,00986.005,PCN/SCN,IIVP,1,,D,26-Jan-2018,Not compliant with procedure,
Wayne,00986.005,PCN/SCN,IIVP,1,,A,26-Jan-2018,,
Wayne,01073.000,Groninger,IDP,1,,A-FP,6-Feb-2018,,Deployment Plan
Wayne,00986.005,PCN/SCN,Test Protocol,1,,A-FP,5-Feb-2018,,
Wayne,01115.000,DARA Filler DHM and RU,Software Compliance Assessment,1,,A-FP,8-Feb-2018,,DARA Filler DHM and RU
Wayne,01115.000,DARA Filler DHM and RU,ERES,1,,A-FP,9-Feb-2018,,DARA Filler DHM and RU and eSig eRec
Wayne,00986.005,PCN/SCN,Test Protocol Results,1,,D,9-Feb-2018,Not using template,
Wayne,01115.000,DARA Filler DHM and RU,Software Change Request,1,,A-FP,8-Feb-2018,,DARA Filler DHM and RU
Wayne,00986.005,PCN/SCN,Traceability,1,,D,9-Feb-2018,Not compliant with procedure,
Wayne,00986.000,PCN/SCN,Traceability,1,,A,13-Feb-2018,,
Wayne,00986.005,PCN/SCN,IIVP results,1,,D,7-Feb-2018,Not compliant with procedure,
Wayne,00953.000,BioCommand Batch Control Plus,IIVP results,1,,A,15-Feb-2018,,BioCommand Batch Control Plus
Wayne,01115.000,DARA Filler DHM and RU,Validation Plan,1,,A-FP,15-Feb-2018,,DARA Filler DHM and RU
Wayne,01115.000,DARA Filler DHM and RU,Project Plan,1,,A-FP,15-Feb-2018,,DARA Filler DHM and RU
Wayne,00986.005,PCN/SCN,System Certification Summary,1,,D,14-Feb-2018,Inaccurate information,
Wayne,00986.005,PCN/SCN,System Certification Summary,1,,A,15-Feb-2018,,
Wayne,00986.005,PCN/SCN,IIVP results,1,Prod,A-FP,19-Feb-2018,,
Nick,589.05,CMSNext,Test Protocol,1,1,A-FP,12-Feb-2018,,
Nick,589.05,CMSNext,Test Protocol,1,2,A-FP,12-Feb-2018,,
Nick,589.05,CMSNext,Test Protocol,1,3,A-FP,12-Feb-2018,,
Nick,750.011,AFMS,Test Protocol Results,4,8,D,12-Feb-2018,,
Nick,750.011,AFMS,Test Protocol Results,1,6,A-FP,12-Feb-2018,,
Nick,589.05,CMSNext,Test Protocol,1,4,A-FP,12-Feb-2018,,
Nick,750.011,AFMS,IIVP results,1,1 QA - 3rd build,D,12-Feb-2018,Not compliant with procedure,
Nick,589.05,CMSNext,Test Protocol,1,5,A-FP,12-Feb-2018,,
Nick,589.05,CMSNext,Test Protocol,1,6,A-FP,12-Feb-2018,,
Nick,ePAS 18-4461,Metrics Library,Test Protocol Results,1,,A-FP,13-Feb-2018,,
Nick,ePAS 18-4462,Metrics Library,Test Protocol Results,1,,A-FP,13-Feb-2018,,
Nick,ePAS 18-4818,Metrics Library,Test Protocol Results,1,,A-FP,13-Feb-2018,,
Nick,ePAS 18-4820,Metrics Library,Test Protocol Results,1,,A-FP,13-Feb-2018,,
Nick,750.011,AFMS,Traceability,9,1,D,14-Feb-2018,Insufficient traceability,
Nick,750.011,AFMS,CII,10,1,A-FP,14-Feb-2018,,
Nick,750.011,AFMS,Test Protocol,2,1,A-FP,14-Feb-2018,,
Nick,928.008,Apollo/PHM,Software Change Request,1,1,A,14-Feb-2018,,
Nick,928.008,Apollo/PHM,Test Protocol,1,1,A-FP,14-Feb-2018,,
Nick,750.011,AFMS,Test Protocol,3,3,A-FP,15-Feb-2018,,
Nick,750.011,AFMS,Test Protocol,2,6,A-FP,15-Feb-2018,,
Nick,750.011,AFMS,Test Protocol,3,7,A-FP,15-Feb-2018,,
Nick,ePAS 18-4976,Metrics Library,Test Protocol Results,1,,A-FP,16-Feb-2018,,
Nick,ePAS 18-4977,Metrics Library,Test Protocol Results,1,,A-FP,16-Feb-2018,,
NIck,750.011,AFMS,IIVP results,1,1 QA - 3rd build,A,16-Feb-2018,,
Nick,750.011,AFMS,Test Protocol,5,8,A-FP,19-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3: ADDULCD773400,A-FP,19-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass - Test Protocol - TCIDARCC_01 - Result: ADDULCD773400,D,19-Feb-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass - Test Protocol - TCIDARCC_01 - Result: ADDULCD773400,A,20-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,10,Pass Test Protocol TCREG_04 Result: ADDULCD772728L,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Software Change Request,1,,A,19-Feb-2018,,resubmitted
Beilah,01033.013,Pulse,Software Change Request,1,,A,21-Feb-2018,,Resubmitted
Beilah,01033.013,Pulse,Software Change Request,1,,A,22-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,1,DP_Download_Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,3,Distributor Portal Instructions for Use_v3 Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,1,DP_Multiple Download_Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,1,DP_Multiple Download_Protocol,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,2,Distributor Portal Assay Files OUS_v2_Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,2,Distributor Portal Assay Files OUS_v2_Protocol,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,1,DP_Download_Protocol: 01037,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,1,DP_Download_Protocol: 01037,A-FP,19-Feb-2018,,link to parent
Beilah,01033.013,Pulse,Test Protocol,2,DP_Download_Protocol v2: 01037,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,2,DP_Download_Protocol v2: 01037,A,19-Feb-2018,,resubmitted
Beilah,01033.013,Pulse,Test Protocol,2,DP_Download_Protocol v2: 01037,A-FP,19-Feb-2018,,link to parent
Beilah,01033.013,Pulse,Test Protocol,3,Distributor Portal Instructions for Use_v3 Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,3,Distributor Portal Instructions for Use_v3 Protocol,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,1,CP_Multiple Download_Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,1,CP_Multiple Download_Protocol,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,3,OUS Emp TL_Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,3,OUS Emp TL_Protocol,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,2,Q Tech_Assay File_OUS_v2_Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,2,Q Tech_Assay File_OUS_v2_Protocol,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,4,Instructions for Use_Protocol_v4,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,4,Instructions for Use_Protocol_v4,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,3,Product Requirements_Protocol,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,3,Product Requirements_Protocol,A-FP,19-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,3,DL_Download_Protocol 01036,A-FP,19-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,3,DL_Download_Protocol,A-FP,19-Feb-2018,,link to parent
Beilah,01033.013,Pulse,Traceability,3,URS/FRS to Test Protocol Trace_v3,A-FP,19-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Test Protocol,2,,A-FP,19-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Test Protocol Results,2,,D,19-Feb-2018,Inaccurate information,
Beilah,01006.002,Alinity Source Verifier,Test Protocol Results,2,,A,19-Feb-2018,,
Beilah,00303.099,DFCS,User Acceptance Protocol results,2,UAT 01_Postponement Picklist Changes_Results - PASS,D,19-Feb-2018,Inaccurate information,
Beilah,00303.099,DFCS,User Acceptance Protocol results,2,UAT 01_Postponement Picklist Changes_Results - PASS,A,20-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,11,Pass Test Protocol TCINT_05 Result: 9.3,A-FP,20-Feb-2018,,
Beilah,01090.000,WWLIMS,User Acceptance Protocol results,1,Pass - Test Protocol - User Acceptance Testing - Protocol 1: Longford,A-FP,20-Feb-2018,,
Beilah,01090.000,WWLIMS,User Acceptance Protocol results,1,Pass - Test Protocol - User Acceptance Testing - Protocol 2: Longford,A-FP,20-Feb-2018,,
Beilah,01090.000,WWLIMS,User Acceptance Protocol results,1,Pass - Test Protocol - User Acceptance Testing - Protocol 3: Longford,A-FP,20-Feb-2018,,
Beilah,01090.000,WWLIMS,User Acceptance Protocol results,1,Pass - Test Protocol - User Acceptance Testing - Protocol 4: Longford,A-FP,20-Feb-2018,,
Beilah,01090.000,WWLIMS,User Acceptance Protocol results,1,Pass - Test Protocol - User Acceptance Testing - Protocol 5: Longford,A-FP,20-Feb-2018,,
Beilah,01090.000,WWLIMS,User Acceptance Protocol results,1,Pass - Test Protocol - User Acceptance Testing - Protocol 6: Longford,A-FP,20-Feb-2018,,
Beilah,01090.000,WWLIMS,User Acceptance Protocol results,1,Pass - Test Protocol - User Acceptance Testing - Protocol 7: Longford,A-FP,20-Feb-2018,,
Beilah,00303.099,DFCS,User Acceptance Protocol results,1,UAT 02_ Regression_Results - PASS,A-FP,20-Feb-2018,,Resubmitted
Beilah,01006.002,Alinity Source Verifier,Release Notes,1,,A-FP,20-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,System Certification Summary,1,,A-FP,20-Feb-2018,,
Beilah,00303.099,DFCS,Release Notes,1,,A-FP,21-Feb-2018,,
Beilah,01090.000,WWLIMS,Traceability,24,WWLIMS Traceability Matrix,A,21-Feb-2018,,
Beilah,01107.000,WWLIMS,Software Change Request,4,,D,21-Feb-2018,Inaccurate information,
Beilah,01107.000,WWLIMS,Software Change Request,4,,A,21-Feb-2018,,
Beilah,01033.013,Pulse,Traceability,11,01038.000 parent,A-FP,21-Feb-2018,,
Beilah,01033.013,Pulse,Traceability,6,01037.000 parent,A-FP,21-Feb-2018,,
Beilah,01033.013,Pulse,Traceability,7,01036 parent,A-FP,21-Feb-2018,,
Beilah,00303.099,DFCS,System Certification Summary,1,,D,21-Feb-2018,Inaccurate information,
Beilah,00303.099,DFCS,System Certification Summary,1,,A,21-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,IIVP results,1,Prod,A-FP,22-Feb-2018,,
Beilah,01090.000,WWLIMS,System Certification Summary,1,,D,22-Feb-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,System Certification Summary,1,,A,22-Feb-2018,,
Nick,750.011,AFMS,User Acceptance Protocol,5,8,A-FP,19-Feb-2018,,
Nick,ePAS 18-5565,GS Reports,Project Plan,1,,A-FP,20-Feb-2018,,
Nick,928.008,Apollo/PHM,Test Protocol Results,1,1,D,20-Feb-2018,Not compliant with procedure,Missing signature
Nick,589.05,CMSNext,Test Protocol,1,7,A-FP,20-Feb-2018,,
Nick,589.05,CMSNext,Test Protocol,1,6,A,20-Feb-2018,,
Nick,ePAS 18-5706,GS Reports,Project Plan,1,,A-FP,20-Feb-2018,,
Nick,581.024,TODS,Software Change Request,2,1,A-FP,20-Feb-2018,,
